"Employee id","Crew id","Flight","Departure Date","Block off","Arrival Date","Block on","Aircraft Registration","Aircraft Type","Duration","Landing","PIC","SIC"
97255,97255,"SK2027-20250106-UME-ARN","2025-01-06","13:46:00","2025-01-06","14:51:00","SEDOY","32N",65,true,"10607",
97255,97255,"SK2026-20250106-ARN-UME","2025-01-06","12:22:00","2025-01-06","13:18:00","SEDOY","32N",56,false,"10607",
97255,97255,"SK1418-20250106-CPH-ARN","2025-01-06","09:04:00","2025-01-06","10:21:00","SEROO","32N",77,false,"10607",
97255,97255,"SK1417-20250106-ARN-CPH","2025-01-06","07:01:00","2025-01-06","08:14:00","SEROO","32N",73,true,"10607",
97255,97255,"SK1491-20250105-TOS-ARN","2025-01-05","10:54:00","2025-01-05","12:56:00","SEROO","32N",122,true,"15226",
97255,97255,"SK1492-20250105-ARN-TOS","2025-01-05","08:09:00","2025-01-05","10:02:00","SEROO","32N",113,true,"15226",
97255,97255,"SK1423-20250104-ARN-CPH","2025-01-04","15:02:00","2025-01-04","16:09:00","SEROF","32N",67,false,"15892",
97255,97255,"SK0558-20250104-AMS-ARN","2025-01-04","12:28:00","2025-01-04","14:15:00","SEROF","32N",107,false,"15892",
97255,97255,"SK0557-20250104-ARN-AMS","2025-01-04","08:51:00","2025-01-04","11:14:00","SEROF","32N",143,true,"15892",
97255,97255,"SK1428-20241230-CPH-ARN","2024-12-30","22:58:00","2024-12-31","00:08:00","SEROO","32N",70,true,"41420",
97255,97255,"SK1427-20241230-ARN-CPH","2024-12-30","21:05:00","2024-12-30","22:21:00","SEROO","32N",76,true,"41420",
97255,97255,"SK0488-20241230-OSL-ARN","2024-12-30","18:05:00","2024-12-30","18:58:00","SEROO","32N",53,true,"41420",
97255,97255,"SK0491-20241230-ARN-OSL","2024-12-30","16:27:00","2024-12-30","17:30:00","SEROO","32N",63,true,"41420",
97255,97255,"SK1428-20241227-CPH-ARN","2024-12-28","01:29:00","2024-12-28","02:42:00","SEROA","32N",73,false,"10607",
97255,97255,"SK1427-20241227-ARN-CPH","2024-12-27","20:57:00","2024-12-27","22:06:00","SEROA","32N",69,true,"10607",
97255,97255,"SK1043-20241227-KRN-ARN","2024-12-27","16:48:00","2024-12-27","18:15:00","OYKAU","320",87,false,"10607",
97255,97255,"SK1048-20241227-ARN-KRN","2024-12-27","14:34:00","2024-12-27","16:12:00","OYKAU","320",98,false,"10607",
97255,97255,"SK1408-20241223-CPH-ARN","2024-12-23","17:05:00","2024-12-23","18:18:00","OYKAU","320",73,false,"12676",
97255,97255,"SK1407-20241223-ARN-CPH","2024-12-23","15:11:00","2024-12-23","16:23:00","OYKAU","320",72,false,"12676",
97255,97255,"SK1420-20241223-CPH-ARN","2024-12-23","12:04:00","2024-12-23","13:12:00","OYKAW","320",68,false,"12676",
97255,97255,"SK1419-20241223-ARN-CPH","2024-12-23","09:59:00","2024-12-23","11:14:00","OYKAW","320",75,false,"12676",
97255,97255,"SK0001-20241221-LLA-ARN","2024-12-21","07:00:00","2024-12-21","08:45:00","SEROF","32N",105,true,"19218",
97255,97255,"SK0014-20241220-ARN-LLA","2024-12-20","12:23:00","2024-12-20","13:39:00","SEROT","32N",76,false,"19218",
97255,97255,"SK2023-20241220-UME-ARN","2024-12-20","09:55:00","2024-12-20","11:00:00","SEROT","32N",65,false,"19218",
97255,97255,"SK0024-20241220-ARN-UME","2024-12-20","08:18:00","2024-12-20","09:18:00","SEROT","32N",60,true,"19218",
97255,97255,"SK0618-20241202-GVA-CPH","2024-12-02","19:59:00","2024-12-02","21:55:00","SEROB","32N",116,false,"18771",
97255,97255,"SK0617-20241202-CPH-GVA","2024-12-02","17:29:00","2024-12-02","19:25:00","SEROB","32N",116,true,"18771",
97255,97255,"SK4044-20241201-SVG-OSL","2024-12-01","21:51:00","2024-12-01","22:50:00","SEROX","32N",59,false,"18771",
97255,97255,"SK4055-20241201-OSL-SVG","2024-12-01","20:34:00","2024-12-01","21:28:00","SEROX","32N",54,true,"18771",
97255,97255,"SK2308-20241201-KSU-OSL","2024-12-01","18:41:00","2024-12-01","19:44:00","SEROX","32N",63,false,"18771",
97255,97255,"SK7470-20241130-LPA-KSU","2024-11-30","14:09:00","2024-11-30","20:31:00","SEROU","32N",322,false,"18771",
97255,97255,"SK7365-20241130-BGO-LPA","2024-11-30","07:50:00","2024-11-30","13:04:00","SEROU","32N",374,true,"18771",
97255,97255,"SK0269-20241129-OSL-BGO","2024-11-29","14:45:00","2024-11-29","15:45:00","LNRGO","32N",60,false,"18771",
97255,97255,"SK2023-20241129-UME-ARN","2024-11-29","09:50:00","2024-11-29","10:53:00","OYKAU","320",63,false,"18771",
97255,97255,"SK0024-20241129-ARN-UME","2024-11-29","08:14:00","2024-11-29","09:14:00","OYKAU","320",60,false,"18771",
97255,97255,"SK4095-20241123-EVE-OSL","2024-11-23","19:13:00","2024-11-23","21:04:00","LNRGL","32N",111,true,"38705",
97255,97255,"SK4094-20241123-OSL-EVE","2024-11-23","17:04:00","2024-11-23","18:44:00","LNRGL","32N",100,false,"38705",
97255,97255,"SK0380-20241122-OSL-TRD","2024-11-22","20:41:00","2024-11-22","21:36:00","SERUC","32N",55,true,"35339",
97255,97255,"SK4042-20241122-SVG-OSL","2024-11-22","18:55:00","2024-11-22","19:46:00","SERUC","32N",51,true,"35339",
